agent_i,agent_j,batch_index,epoch,mean_absolute_disagreement,overlap_height,overlap_width,split
13,14,1,0,0.00214002700522542,40,16,validation
14,15,1,0,0.00646770466119051,40,16,validation
0,1,2,0,0.009687458164989948,40,16,validation
0,4,2,0,0.002525489777326584,16,40,validation
0,5,2,0,0.007662460673600435,16,16,validation
1,2,2,0,0.005527261644601822,40,16,validation
1,4,2,0,0.004394057206809521,16,16,validation
1,5,2,0,0.0016787636559456587,16,48,validation
1,6,2,0,0.005791281349956989,16,16,validation
2,3,2,0,0.00275041745044291,40,16,validation
2,5,2,0,0.008908543735742569,16,16,validation
2,6,2,0,0.0006702045211568475,16,48,validation
2,7,2,0,0.0065559279173612595,16,16,validation
3,6,2,0,0.002490963088348508,16,16,validation
3,7,2,0,0.003173242090269923,16,40,validation
4,5,2,0,0.006271105259656906,48,16,validation
4,8,2,0,0.0022848877124488354,16,40,validation
4,9,2,0,0.008876840583980083,16,16,validation
5,6,2,0,0.006563215516507626,48,16,validation
5,8,2,0,0.0034562016371637583,16,16,validation
5,9,2,0,0.0047888606786727905,16,48,validation
5,10,2,0,0.010532553307712078,16,16,validation
6,7,2,0,0.006275251507759094,48,16,validation
6,9,2,0,0.012080502696335316,16,16,validation
6,10,2,0,0.004109397064894438,16,48,validation
6,11,2,0,0.005103553645312786,16,16,validation
7,10,2,0,0.01178028341382742,16,16,validation
7,11,2,0,0.010705424472689629,16,40,validation
8,9,2,0,0.009245376102626324,48,16,validation
8,12,2,0,0.0019254250219091773,16,40,validation
8,13,2,0,0.010726754553616047,16,16,validation
9,10,2,0,0.015837326645851135,48,16,validation
9,12,2,0,0.015112634748220444,16,16,validation
9,13,2,0,0.0019833804108202457,16,48,validation
9,14,2,0,0.004478047601878643,16,16,validation
10,11,2,0,0.0004801057802978903,48,16,validation
10,13,2,0,0.01342419907450676,16,16,validation
10,14,2,0,0.010389923118054867,16,48,validation
10,15,2,0,0.0024953295942395926,16,16,validation
11,14,2,0,0.00898099783807993,16,16,validation
11,15,2,0,0.0023288114462047815,16,40,validation
12,13,2,0,0.014054382219910622,40,16,validation
13,14,2,0,0.0028946504462510347,40,16,validation
14,15,2,0,0.006170349195599556,40,16,validation
0,1,3,0,0.010405274108052254,40,16,validation
0,4,3,0,0.004102727398276329,16,40,validation
0,5,3,0,0.017108526080846786,16,16,validation
1,2,3,0,0.004185973200947046,40,16,validation
1,4,3,0,0.010195489041507244,16,16,validation
1,5,3,0,0.0016875843284651637,16,48,validation
1,6,3,0,0.005574742332100868,16,16,validation
2,3,3,0,0.00325379753485322,40,16,validation
2,5,3,0,0.008233853615820408,16,16,validation
2,6,3,0,0.0006718020886182785,16,48,validation
2,7,3,0,0.006968189030885696,16,16,validation
3,6,3,0,0.002646208507940173,16,16,validation
3,7,3,0,0.003366740420460701,16,40,validation
4,5,3,0,0.007835007272660732,48,16,validation
4,8,3,0,0.002287583891302347,16,40,validation
4,9,3,0,0.007823840714991093,16,16,validation
5,6,3,0,0.005613960325717926,48,16,validation
5,8,3,0,0.002892416436225176,16,16,validation
5,9,3,0,0.006006117444485426,16,48,validation
5,10,3,0,0.009764963760972023,16,16,validation
6,7,3,0,0.005197789520025253,48,16,validation
6,9,3,0,0.011386267840862274,16,16,validation
6,10,3,0,0.004800758324563503,16,48,validation
6,11,3,0,0.00476656062528491,16,16,validation
7,10,3,0,0.011227828450500965,16,16,validation
7,11,3,0,0.011787129566073418,16,40,validation
8,9,3,0,0.009528683498501778,48,16,validation
8,12,3,0,0.0014317024033516645,16,40,validation
8,13,3,0,0.009838816709816456,16,16,validation
9,10,3,0,0.018409468233585358,48,16,validation
9,12,3,0,0.014316425658762455,16,16,validation
9,13,3,0,0.002630221890285611,16,48,validation
